User_Id,Combined_Genre,Score
0,technical thrash metal|math metal|progressive metal,82
0,grindcore|melodic death metal,88
1,symphonic power metal,90
2,heavy metal|us power metal,87
3,power metal,70
4,progressive metal,100
5,extreme progressive metal,85
6,technical death metal,85
6,heavy metal,75
6,doom metal,85
7,heavy metal|us power metal,82
7,black metal,95
6,death metal|thrash metal,100
8,melodic death metal,90
5,heavy metal|progressive metal|thrash metal,50
9,technical death metal,93
9,technical death metal,71
7,heavy metal|us power metal,95
10,heavy metal|us power metal,65
6,,75
10,symphonic power metal,90
10,heavy metal,90
10,power metal,80
6,progressive metal|djent,90
11,gothenburg metal,75
10,heavy metal|power metal,95
12,speed metal,75
12,progressive metal,95
13,black metal,95
14,heavy metal,62
14,thrash metal,70
14,heavy metal,91
14,thrash metal|speed metal,80
14,death metal,72
15,symphonic black metal|power metal,80
16,heavy metal,78
17,heavy metal|power metal,90
18,black metal,95
18,black metal,99
18,black metal,93
18,black metal,90
18,black metal,88
18,black metal,98
18,black metal,95
18,thrash metal,99
19,thrash metal,76
10,folk metal|power metal,85
10,power metal,70
18,,100
18,,100
18,thrash metal,88
18,,88
18,,88
18,,88
18,heavy metal|hard rock,100
18,black metal,91
19,heavy metal,39
19,heavy metal,42
19,thrash metal,89
19,new wave of british heavy metal,82
19,death metal|thrash metal,90
19,,92
19,us heavy metal|power metal,68
19,thrash metal,90
19,heavy metal|hard rock,100
19,death metal,79
20,heavy metal,100
19,deathcore,97
19,bay area thrash metal,90
13,,75
19,new wave of british heavy metal,99
19,thrash metal,73
20,us power metal,80
20,us power metal,85
20,melodic death metal|technical death metal,80
20,melodic death metal|technical death metal,95
18,blackened death metal,75
18,heavy metal,91
18,thrash metal,89
18,,92
18,heavy metal|hard rock,81
18,death metal|thrash metal,89
18,death metal|thrash metal,90
18,death metal|thrash metal,84
13,black metal,93
20,melodic death metal|technical death metal,94
20,heavy metal,92
21,death metal,90
6,atmospheric sludge metal|post-metal,100
20,heavy metal,91
6,thrash metal,70
6,melodic black metal|pagan black metal,52
18,,86
18,hard rock,86
18,progressive thrash metal,88
18,power metal,50
18,bay area thrash metal,90
18,progressive metal,95
18,heavy metal|us power metal,90
18,black metal,87
18,heavy metal|hard rock,98
18,experimental rock,87
6,heavy metal,100
18,black metal,85
18,power metal|progressive metal|folk metal,99
18,heavy metal|first wave of black metal,98
8,death metal|thrash metal,75
22,death metal,89
20,heavy metal,85
20,heavy metal,85
20,heavy metal,80
22,heavy metal,91
20,heavy metal,90
20,heavy metal,85
19,black metal|doom metal,80
19,heavy metal|hard rock,90
19,experimental rock,68
19,heavy metal|hard rock,77
19,heavy metal,59
19,technical thrash metal|progressive thrash metal,66
19,glam metal|hard rock|heavy metal,70
19,heavy metal|hard rock,88
19,gothic metal,93
19,bay area thrash metal,80
19,progressive metal,30
19,heavy metal|thrash metal,97
19,teutonic thrash metal,93
19,teutonic thrash metal,86
19,heavy metal,77
19,speed metal|power metal,92
19,speed metal,92
19,thrash metal,82
19,new wave of british heavy metal|heavy metal,88
19,us power metal,99
19,,91
20,black metal,80
12,heavy metal,90
23,,85
18,black metal,79
18,thrash metal|us power metal,99
18,doom metal,94
18,power metal|thrash metal,93
18,teutonic thrash metal,92
18,death metal|thrash metal,100
18,black metal,88
